title,abstract,applicant,ipc,date
セルロースナノファイバー透明フィルム,水系分散したセルロースナノファイバーを用いたバリアフィルムの製造方法であって、乾燥工程における収縮を制御することにより均質なバリアフィルムを得る。,大王製紙株式会社;花王株式会社,D21H 11/18; C08J 5/18; C08J 5/04,2023-12-23
全固体リチウムイオン電池,二次電池用電解質の製造方法であって、ゾルゲル法により均質な正極材料を得る方法を提供する。,村田製作所;トヨタ自動車株式会社,H01M 50/40,2019-11-07
集電体を備えた二次電池,リチウムイオン電池における負極材料の新規構成に関する。界面抵抗を低減し、高速充電対応を達成する。,パナソニック株式会社,H01M 50/40; H01M 4/525,2024-07-12
循環型ポリアミド,廃ポリアミドのケミカルリサイクル方法であって、酵素を用いたグリコリシスにより高純度のモノマーを回収する。,帝人株式会社,C08J 11/10,2024-01-05
ポリエステルのケミカルリサイクル方法,廃ポリエステルのケミカルリサイクル方法であって、酵素を用いたグリコリシスにより高純度のモノマーを回収する。,東洋紡株式会社,C08J 11/10; C08G 63/183,2019-08-17
医用画像の予測システム,医用画像の自動解析に関する。畳み込みニューラルネットワークを用いてMRI画像から網膜病変を高精度で検出する。転移学習により,オリンパス株式会社,A61B 5/00,2019-10-05
フレキシブル太陽電池,太陽電池の製造方法であって、ブレードコーティングを用いて大面積化と高効率化の両立を実現する。,First Solar;積水化学工業株式会社,H10K 30/50; H01L 31/18,2023-09-12
太陽電池セルモジュール,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により大面積モジュール化を達成する。,積水化学工業株式会社;東京大学,H01L 31/18; H10K 30/30; H01L 31/0725,2019-11-12
ロボットの経路計画システム,車両の歩行者予測装置であって、強化学習を用いて周囲環境を認識し、安全な走行を支援する。,NVIDIA,G06V 20/58; G08G 1/16; G05D 1/02,2021-02-19
バイオマス由来エポキシ樹脂,解重合可能な高分子材料に関する。分子鎖中に刺激応答性結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型ポリエステルを実現する。,ダイセル;住友化学株式会社,C08L 67/02,2021-07-23
有機ELディスプレイ,量子ドットを用いた表示パネルであって、インクジェット印刷による精密パターニングにより色再現性に優れた表示を可能にする。,住友化学株式会社,H10K 71/00; H10K 50/10,2021-03-24
エポキシ樹脂のケミカルリサイクル方法,バイオマス原料から得られるエポキシ樹脂の合成方法に関する。バイオマスの前処理技術の改良により環境負荷の低い材料を提供する。,クラレ;帝人株式会社,C08J 11/10; C08G 63/183,2022-10-23
機械学習による骨折予測方法,内視鏡画像における腫瘍の自動自動解析システムに関する。Vision Transformerを採用し、リアルタイム処理を実現する。,国立がん研究センター,G06N 3/08; A61B 5/00; G06T 7/00,2020-12-24
自動運転車両の速度制御装置,自動運転レベル3に対応する通信システムに関する。ミリ波レーダーデータをディープラーニングで処理し、リアルタイムの合流制御を実現する。,トヨタ自動車株式会社,B60W 60/00,2021-09-17
太陽電池の製造方法,太陽電池セルの製造方法であって、スロットダイコーティングを用いて大面積化と高効率化の両立を実現する。,京都大学,H01L 31/18; H10K 30/50; H01L 31/0725,2019-08-11
廃エポキシ樹脂の再資源化方法,解重合可能なポリアミドに関する。分子鎖中に可逆結合部位を導入することで、温和な条件下でモノマーへの分解が可能な循環型プラスチックを実現する。,住友化学株式会社,C08J 11/10,2019-12-02
修飾セルロースナノファイバーを用いた透明フィルム,セルロースナノファイバーをフィルム中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。熱膨張係数がガラスと同等まで低減される,大王製紙株式会社,C08L 1/02; D21H 11/18; B29C 70/00,2023-07-02
深層学習を用いた心電図異常検出方法,医用画像のセグメンテーションに関する。畳み込みニューラルネットワークを用いてX線画像から網膜病変を高精度で検出する。マルチスケール特徴抽出により,キヤノン株式会社;国立がん研究センター,A61B 5/00; G06N 3/08; G16H 30/40,2020-01-20
高エネルギー密度リチウムイオン電池,リチウムイオン二次電池の電解質に関する。シリコン系負極の膨張抑制構造により、高容量かつ長サイクル寿命を実現する。,TDK株式会社,C01G 53/00,2020-10-07
修飾セルロースナノファイバーを用いた断熱材,水系分散したセルロースナノファイバーを用いたバリアフィルムの製造方法であって、乾燥工程における収縮を制御することにより均質な断熱材を得る。,王子ホールディングス株式会社,D21H 11/18; B29C 70/00,2024-01-03
機械学習による腫瘍予測方法,医用画像の診断支援に関する。畳み込みニューラルネットワークを用いてCT画像から心電図異常を高精度で検出する。転移学習により,東京大学;国立がん研究センター,G06N 3/08; G16H 30/40,2023-08-05
CNF分散接着剤組成物の調製方法,水系分散したセルロースナノファイバーを用いたバリアフィルムの製造方法であって、乾燥工程における収縮を制御することにより均質な構造部材を得る。,日本製紙株式会社;凸版印刷株式会社,D21H 11/18; B32B 23/00,2024-02-24
量子ドット発光デバイス,量子ドットを用いたディスプレイであって、インクジェット印刷による精密パターニングにより色再現性に優れた表示を可能にする。,京セラ株式会社;住友化学株式会社,C09K 11/02; H10K 71/00; G09G 3/32,2021-10-23
フレキシブル太陽電池,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により低照度での発電効率改善を達成する。,Oxford PV,H01L 31/0725; H01L 31/18,2021-11-11
CNF含有コーティング材の製造方法,化学修飾したセルロースナノファイバーを含有するフィルムに関する。ナノファイバーの表面処理によりフィルムとの親和性を向上させ、軽量化を実現する。,東レ株式会社,B32B 23/00,2022-05-03
フレキシブルディスプレイ,マイクロLEDを画素として用いた発光素子の製造方法に関する。レーザーリフトオフにより高精細な発光デバイスを得る。,住友化学株式会社,C09K 11/02; H01L 33/00; G09G 3/32,2021-08-08
有機EL発光素子,マイクロLEDを画素として用いた表示パネルの製造方法に関する。転写法により高精細な表示装置を得る。,住友化学株式会社;ソニー株式会社,C09K 11/02,2023-07-01
廃ポリエステルの再資源化方法,バイオマス原料から得られるポリエステルの合成方法に関する。プロセスのエネルギー効率改善により環境負荷の低い材料を提供する。,BASF,C08G 63/183; B29B 17/00; C08J 11/10,2021-12-23
フレキシブル太陽電池セル,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により大面積モジュール化を達成する。,京都大学;カネカ,H10K 30/30; H10K 30/50; H01L 31/18,2022-06-25
電池用集電体の改良,全固体電池における正極材料の新規構成に関する。界面抵抗を低減し、充放電効率99.5%以上を達成する。,パナソニック株式会社;Samsung SDI,H01M 50/40,2024-03-03
ポリエステルのケミカルリサイクル方法,解重合可能なポリエステルに関する。分子鎖中に可逆結合部位を導入することで、温和な条件下でモノマーへの分解が可能な循環型高分子材料を実現する。,東洋紡株式会社;クラレ,C08J 11/10; C08G 63/183,2022-12-19
ナノセルロース複合接着剤組成物,セルロースナノファイバーを樹脂組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。引張強度が従来比50%向上する,大日本印刷株式会社,C08J 5/04,2019-07-09
AI支援自動解析装置,X線画像における腫瘍の自動分類システムに関する。Vision Transformerを採用し、リアルタイム処理を実現する。,シーメンス,A61B 6/03,2022-12-07
マイクロLED表示パネル,量子ドットを用いた発光素子であって、量子ドットのサイズ均一性向上により色再現性に優れた表示を可能にする。,JDI,H10K 50/10; H01L 33/00; H10K 71/00,2024-05-24
発光素子の製造方法,量子ドットを用いたディスプレイであって、電荷輸送層のバンド構造制御により色再現性に優れた表示を可能にする。,シャープ株式会社;BOE Technology,H10K 50/10,2024-07-20
機械学習による骨折予測方法,MRI画像における肺結節の自動自動解析システムに関する。YOLOを採用し、リアルタイム処理を実現する。,東京大学,A61B 5/00; G16H 30/40,2020-09-09
車両の合流制御方法,車両の歩行者予測装置であって、カルマンフィルタを用いて周囲環境を認識し、安全な走行を支援する。,トヨタ自動車株式会社;NVIDIA,B60W 60/00; G06V 20/58,2022-04-21
CNF分散コーティング材の調製方法,水系分散したセルロースナノファイバーを用いた増粘剤の製造方法であって、乾燥工程における収縮を制御することにより均質な構造部材を得る。,日本製紙株式会社,C08J 5/04; D21H 11/18,2021-01-04
医療診断支援システム,医用画像の予測に関する。畳み込みニューラルネットワークを用いて超音波画像から腫瘍を高精度で検出する。マルチスケール特徴抽出により,オリンパス株式会社,G06T 7/00; A61B 5/00,2020-08-20
電池用電解質の改良,リチウムイオン二次電池の電解質に関する。シリコン系負極の膨張抑制構造により、高容量かつ長サイクル寿命を実現する。,パナソニック株式会社;村田製作所,H01M 10/0562; H01M 4/525; H01M 50/40,2021-12-25
リサイクル可能なプラスチック,バイオマス原料から得られるエポキシ樹脂の合成方法に関する。プロセスのエネルギー効率改善により環境負荷の低い材料を提供する。,クラレ,C08J 11/10; C08G 63/183; C08L 67/02,2022-07-10
有機EL表示パネル,有機エレクトロルミネッセンス表示パネルに関する。発光層の膜厚最適化により、高輝度かつ長寿命のディスプレイを実現する。,LG Display;JDI,H01L 33/00; C09K 11/02; H10K 50/10,2024-12-23
解重合可能なポリアミドの合成,解重合可能なポリアミドに関する。分子鎖中に動的共有結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型エポキシ樹脂を実現する。,帝人株式会社,C08L 67/02; C08J 11/10,2024-09-04
AI支援診断支援装置,CT画像における肺結節の自動診断支援システムに関する。Vision Transformerを採用し、リアルタイム処理を実現する。,東京大学;NVIDIA,G06N 3/08; A61B 6/03,2023-01-24
全固体リチウムイオン電池,二次電池用集電体の製造方法であって、共沈法により均質な電解質を得る方法を提供する。,出光興産株式会社,H01M 50/40; H01M 10/052,2022-02-08
電池用電解質の改良,二次電池用電解質の製造方法であって、固相反応により均質なセパレータを得る方法を提供する。,CATL,H01M 10/0562; C01G 53/00,2023-01-12
AI支援予測装置,医用画像の自動解析に関する。畳み込みニューラルネットワークを用いて内視鏡画像から骨折を高精度で検出する。Attention機構の導入により,NVIDIA,A61B 6/03; G16H 30/40; A61B 5/00,2022-11-11
タンデム型太陽電池セル,光電変換素子の製造方法であって、スロットダイコーティングを用いて大面積化と高効率化の両立を実現する。,京都大学,H10K 30/50; H10K 30/30,2024-12-14
タンデム型太陽電池セル,太陽電池セルの製造方法であって、ブレードコーティングを用いて大面積化と高効率化の両立を実現する。,積水化学工業株式会社,H10K 30/50; H10K 30/30,2019-03-06
電池用固体電解質の改良,リチウムイオン二次電池のセパレータに関する。ドライプロセスによる電極形成により、高容量かつ長サイクル寿命を実現する。,LG Energy Solution,H01M 50/40; C01G 53/00,2022-12-04
リチウムイオン電池用固体電解質,リチウムイオン電池における電解質の新規構成に関する。界面抵抗を低減し、高速充電対応を達成する。,LG Energy Solution;Samsung SDI,H01M 50/40; H01M 10/0562,2020-08-23
廃高分子材料の再資源化方法,廃ポリアミドのケミカルリサイクル方法であって、酵素を用いたメタノリシスにより高純度のモノマーを回収する。,東洋紡株式会社,C08L 67/02,2023-08-23
タンデム型太陽電池セル,ペロブスカイト太陽電池セルに関する。パッシベーション層の形成により光電変換効率を向上させ、低コストでの製造を可能にする。,Oxford PV;理化学研究所,H01L 31/18; H10K 30/50,2021-01-13
リチウムイオン電池用正極材料,リチウム硫黄電池における負極材料の新規構成に関する。界面抵抗を低減し、低温特性の改善を達成する。,村田製作所,H01M 10/0562,2019-01-08
フレキシブル表示パネル,有機エレクトロルミネッセンス発光素子に関する。量子ドットのサイズ均一性向上により、高輝度かつ長寿命の発光素子を実現する。,ソニー株式会社;JDI,G09G 3/32; H10K 71/00,2022-04-09
自動運転制御システム,超音波センサとカメラの融合データに基づく車線維持方法に関する。点群データの意味分割により認識精度を向上させる。,Mobileye,B60W 60/00; G06N 3/08; G08G 1/16,2020-08-10
セルロースナノファイバー強化樹脂組成物,水系分散したセルロースナノファイバーを用いた増粘剤の製造方法であって、乾燥工程における収縮を制御することにより均質な構造部材を得る。,日本製紙株式会社;大王製紙株式会社,C08J 5/04; C08J 5/18,2019-12-24
ナノセルロース複合接着剤組成物,セルロースナノファイバーを接着剤組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。引張強度が従来比50%向上する,東レ株式会社;日本製紙株式会社,C08J 5/04; D21H 11/18,2023-01-20
高効率光電変換素子,太陽電池セルの製造方法であって、ブレードコーティングを用いて大面積化と高効率化の両立を実現する。,東京大学;積水化学工業株式会社,H01L 31/0725; H10K 30/50; H01L 31/18,2019-08-07
セルロースナノファイバー強化樹脂組成物,セルロースナノファイバーをポリマー複合材料中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。引張強度が従来比50%向上する,旭化成株式会社,C08J 5/18,2023-05-26
表示パネルの製造方法,マイクロLEDを画素として用いた表示装置の製造方法に関する。蒸着法により高精細な発光デバイスを得る。,JDI,H10K 71/00,2021-12-08
CNF含有接着剤組成物の製造方法,化学修飾したセルロースナノファイバーを含有するポリマー複合材料に関する。ナノファイバーの表面処理によりフィルムとの親和性を向上させ、高強度化を実現する。,日本製紙株式会社;旭化成株式会社,B29C 70/00,2021-04-26
運転支援制御システム,自動運転レベル3に対応するセンシングシステムに関する。ミリ波レーダーデータを強化学習で処理し、リアルタイムの速度制御を実現する。,日立Astemo,B60W 60/00; G05D 1/02; G06V 20/58,2021-06-05
自動運転車両の車線維持装置,ミリ波レーダーとカメラの融合データに基づく速度制御方法に関する。時系列予測による行動推定により認識精度を向上させる。,デンソー株式会社;NVIDIA,G06N 3/08; G05D 1/02,2020-07-02
リサイクル可能な高分子材料,解重合可能なポリアミドに関する。分子鎖中に可逆結合部位を導入することで、温和な条件下でモノマーへの分解が可能な循環型エポキシ樹脂を実現する。,ダイセル,C08G 63/183; C12P 7/62,2021-04-02
全固体電池の製造方法,二次電池用固体電解質の製造方法であって、メカニカルミリングにより均質な電解質を得る方法を提供する。,LG Energy Solution,H01M 10/0562,2020-10-15
全固体リチウムイオン電池,リチウム硫黄電池における電解質の新規構成に関する。界面抵抗を低減し、充放電効率99.5%以上を達成する。,Samsung SDI;村田製作所,H01M 50/40; H01M 10/0562,2022-05-07
車両の経路計画方法,車両の経路計画装置であって、ディープラーニングを用いて周囲環境を認識し、安全な走行を支援する。,トヨタ自動車株式会社;日産自動車株式会社,B60W 60/00; G06N 3/08; G06V 20/58,2019-07-22
セルロースナノファイバー強化ポリマー複合材料,セルロースナノファイバーを接着剤組成物中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。ヘイズ値が1%以下の高透明性を示す,旭化成株式会社,C08J 5/18; B32B 23/00,2023-07-10
ディスプレイの製造方法,マイクロLEDを画素として用いた表示装置の製造方法に関する。レーザーリフトオフにより高精細なディスプレイを得る。,シャープ株式会社,H01L 33/00,2022-11-20
医用画像の診断支援システム,深層学習モデルによる腫瘍の診断支援方法であって、データ拡張と半教師あり学習を組み合わせることで少量の教師データでも高い診断精度を達成する。,東京大学,G06T 7/00,2019-02-22
太陽電池セルモジュール,太陽電池の製造方法であって、スプレー成膜を用いて大面積化と高効率化の両立を実現する。,First Solar,H10K 30/30,2024-09-25
廃ポリエステルの再資源化方法,バイオマス原料から得られるポリアミドの合成方法に関する。プロセスのエネルギー効率改善により環境負荷の低い材料を提供する。,クラレ;旭化成株式会社,C08G 63/183,2022-03-07
車両の経路計画方法,超音波センサとカメラの融合データに基づく合流制御方法に関する。時系列予測による行動推定により認識精度を向上させる。,日立Astemo;Mobileye,G06V 20/58,2021-11-03
全固体リチウムイオン電池,二次電池用固体電解質の製造方法であって、固相反応により均質な正極材料を得る方法を提供する。,CATL,C01G 53/00; H01M 10/052,2021-06-10
車両の合流制御方法,車両の合流制御装置であって、カルマンフィルタを用いて周囲環境を認識し、安全な走行を支援する。,ホンダ技研工業株式会社;日立Astemo,G06N 3/08; G08G 1/16; G05D 1/02,2024-10-27
フレキシブル発光素子,量子ドットを用いたディスプレイであって、量子ドットのサイズ均一性向上により色再現性に優れた表示を可能にする。,サムスン電子;京セラ株式会社,C09K 11/02; H10K 50/10,2021-04-15
セルロースナノファイバーバリアフィルム,化学修飾したセルロースナノファイバーを含有する接着剤組成物に関する。ナノファイバーの表面処理によりフィルムとの親和性を向上させ、寸法安定性の向上を実現する。,花王株式会社,C08J 5/04; C08J 5/18,2020-06-26
電池用セパレータの改良,全固体電池における電解質の新規構成に関する。界面抵抗を低減し、低温特性の改善を達成する。,TDK株式会社,H01M 10/052; H01M 10/0562; H01M 4/525,2024-08-28
高エネルギー密度リチウム硫黄電池,二次電池用セパレータの製造方法であって、メカニカルミリングにより均質な固体電解質を得る方法を提供する。,出光興産株式会社,H01M 50/40,2019-05-07
高効率太陽電池セル,ペロブスカイト太陽電池セルに関する。組成勾配構造の導入により光電変換効率を向上させ、低コストでの製造を可能にする。,理化学研究所,H01L 31/18; H01L 31/0725; H10K 30/30,2023-12-24
タンデム型太陽電池,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により変換効率30%超を達成する。,パナソニック株式会社;理化学研究所,H10K 30/50,2023-04-28
AI支援自動解析装置,医用画像の予測に関する。畳み込みニューラルネットワークを用いてCT画像から肺結節を高精度で検出する。データ拡張と半教師あり学習を組み合わせることで,シーメンス,A61B 6/03; G06N 3/08,2024-01-08
ペロブスカイト太陽電池セル,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により低照度での発電効率改善を達成する。,理化学研究所,H01L 31/0725; H10K 30/50; H10K 30/30,2024-02-22
量子ドット発光デバイス,量子ドットを用いた表示装置であって、量子ドットのサイズ均一性向上により色再現性に優れた表示を可能にする。,JDI,H01L 33/00,2023-09-03
自動運転制御システム,自動運転レベル3に対応する通信システムに関する。LiDARデータを強化学習で処理し、リアルタイムの合流制御を実現する。,日産自動車株式会社,G06V 20/58; G08G 1/16; G06N 3/08,2023-01-22
フレキシブルディスプレイ,有機エレクトロルミネッセンス表示パネルに関する。インクジェット印刷による精密パターニングにより、高輝度かつ長寿命の発光デバイスを実現する。,LG Display;住友化学株式会社,G09G 3/32,2021-06-18
量子ドット発光素子,量子ドットを用いた発光デバイスであって、量子ドットのサイズ均一性向上により色再現性に優れた表示を可能にする。,JDI;住友化学株式会社,H10K 71/00; C09K 11/02,2021-09-10
マイクロLED発光素子,マイクロLEDを画素として用いた発光デバイスの製造方法に関する。レーザーリフトオフにより高精細な表示装置を得る。,シャープ株式会社;BOE Technology,H10K 50/10,2021-03-13
有機ELディスプレイ,マイクロLEDを画素として用いた発光デバイスの製造方法に関する。レーザーリフトオフにより高精細なディスプレイを得る。,JDI,G09G 3/32; H10K 71/00,2021-09-13
セルロースナノファイバー断熱材,化学修飾したセルロースナノファイバーを含有するポリマー複合材料に関する。ナノファイバーの表面処理により樹脂組成物との親和性を向上させ、軽量化を実現する。,旭化成株式会社,C08J 5/04,2024-09-15
ペロブスカイト光電変換素子,太陽電池の製造方法であって、ブレードコーティングを用いて大面積化と高効率化の両立を実現する。,Oxford PV,H01L 31/18,2020-12-11
リチウム硫黄電池の製造方法,リチウム硫黄電池における負極材料の新規構成に関する。界面抵抗を低減し、充放電効率99.5%以上を達成する。,LG Energy Solution;出光興産株式会社,H01M 10/0562; H01M 4/525; H01M 10/052,2024-05-27
車両の歩行者予測方法,超音波センサとカメラの融合データに基づく合流制御方法に関する。注意機構による特徴量統合により認識精度を向上させる。,デンソー株式会社,G08G 1/16; G05D 1/02; G06N 3/08,2022-09-07
解重合可能なエポキシ樹脂の合成,解重合可能なポリアミドに関する。分子鎖中に刺激応答性結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型ポリエステルを実現する。,東洋紡株式会社;旭化成株式会社,B29B 17/00,2022-06-16
深層学習を用いた心電図異常検出方法,超音波画像における肺結節の自動セグメンテーションシステムに関する。Vision Transformerを採用し、リアルタイム処理を実現する。,東京大学,A61B 6/03,2019-04-21
発光デバイスの製造方法,マイクロLEDを画素として用いた表示装置の製造方法に関する。蒸着法により高精細な表示装置を得る。,ソニー株式会社,H10K 71/00; C09K 11/02,2019-12-05
バイオマス由来高分子材料,解重合可能なプラスチックに関する。分子鎖中に刺激応答性結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型エポキシ樹脂を実現する。,帝人株式会社,C08G 63/183; C08L 67/02; C12P 7/62,2021-07-20
解重合可能なプラスチックの合成,解重合可能なポリエステルに関する。分子鎖中に刺激応答性結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型エポキシ樹脂を実現する。,三菱ケミカル株式会社;BASF,C08J 11/10; B29B 17/00; C08G 63/183,2024-05-22
LiDARを用いた物体認識装置,自動運転レベル4に対応する通信システムに関する。LiDARデータをディープラーニングで処理し、リアルタイムの合流制御を実現する。,デンソー株式会社;トヨタ自動車株式会社,G06N 3/08,2020-07-16
循環型プラスチック,解重合可能なエポキシ樹脂に関する。分子鎖中に動的共有結合を導入することで、温和な条件下でモノマーへの分解が可能な循環型エポキシ樹脂を実現する。,帝人株式会社;住友化学株式会社,C08J 11/10; C08L 67/02; C12P 7/62,2024-09-02
深層学習を用いた肺結節検出方法,深層学習モデルによる心電図異常の自動解析方法であって、転移学習により少量の教師データでも高い診断精度を達成する。,オリンパス株式会社;キヤノン株式会社,G06N 3/08; G16H 30/40; G06T 7/00,2020-12-10
プラスチックのケミカルリサイクル方法,解重合可能なプラスチックに関する。分子鎖中に可逆結合部位を導入することで、温和な条件下でモノマーへの分解が可能な循環型ポリアミドを実現する。,旭化成株式会社;住友化学株式会社,C12P 7/62; C08G 63/183,2019-03-07
自動運転センシングシステム,LiDARとカメラの融合データに基づく車線維持方法に関する。注意機構による特徴量統合により認識精度を向上させる。,Mobileye,G08G 1/16; B60W 60/00; G06N 3/08,2019-10-04
高分子材料のケミカルリサイクル方法,バイオマス原料から得られるポリアミドの合成方法に関する。発酵プロセスの最適化により環境負荷の低い材料を提供する。,旭化成株式会社;住友化学株式会社,C08L 67/02; B29B 17/00; C08J 11/10,2020-03-28
CNF分散ポリマー複合材料の調製方法,水系分散したセルロースナノファイバーを用いたバリアフィルムの製造方法であって、乾燥工程における収縮を制御することにより均質な透明フィルムを得る。,王子ホールディングス株式会社,C08L 1/02,2019-06-03
深層学習を用いた腫瘍検出方法,深層学習モデルによる腫瘍の予測方法であって、Attention機構の導入により少量の教師データでも高い診断精度を達成する。,シーメンス,A61B 6/03,2022-10-16
高解像度発光素子の駆動回路,マイクロLEDを画素として用いた発光デバイスの製造方法に関する。レーザーリフトオフにより高精細な表示装置を得る。,ソニー株式会社;シャープ株式会社,C09K 11/02,2022-08-19
機械学習による心電図異常予測方法,深層学習モデルによる骨折の予測方法であって、Attention機構の導入により少量の教師データでも高い診断精度を達成する。,シーメンス;東京大学,A61B 6/03; G06N 3/08,2023-09-16
深層学習を用いた網膜病変検出方法,深層学習モデルによる骨折のセグメンテーション方法であって、データ拡張と半教師あり学習を組み合わせることで少量の教師データでも高い診断精度を達成する。,東京大学;シーメンス,G06T 7/00; G16H 30/40; A61B 5/00,2021-10-27
高エネルギー密度リチウムイオン電池,二次電池用固体電解質の製造方法であって、メカニカルミリングにより均質な電解質を得る方法を提供する。,Samsung SDI,H01M 10/052,2023-05-22
AI支援セグメンテーション装置,深層学習モデルによる網膜病変の予測方法であって、転移学習により少量の教師データでも高い診断精度を達成する。,NVIDIA,A61B 6/03,2019-09-21
ナノセルロース複合樹脂組成物,セルロースナノファイバーをポリマー複合材料中に均一分散させることにより、機械的強度と透明性を両立する複合材料を提供する。引張強度が従来比50%向上する,王子ホールディングス株式会社;旭化成株式会社,C08J 5/18,2023-11-15
自動運転センシングシステム,車両の歩行者予測装置であって、強化学習を用いて周囲環境を認識し、安全な走行を支援する。,日産自動車株式会社;デンソー株式会社,G06V 20/58; B60W 60/00,2021-08-09
マイクロLED発光素子,マイクロLEDを画素として用いた発光素子の製造方法に関する。蒸着法により高精細な発光デバイスを得る。,シャープ株式会社,G09G 3/32,2021-07-05
AI支援予測装置,MRI画像における骨折の自動分類システムに関する。U-Netを採用し、リアルタイム処理を実現する。,東京大学;NVIDIA,G16H 30/40,2019-08-23
発光デバイスの製造方法,有機エレクトロルミネッセンス表示装置に関する。電荷輸送層のバンド構造制御により、高輝度かつ長寿命の発光デバイスを実現する。,シャープ株式会社;京セラ株式会社,C09K 11/02; H01L 33/00; G09G 3/32,2023-11-27
リサイクル可能なポリエステル,バイオマス原料から得られるポリエステルの合成方法に関する。触媒反応の選択性向上により環境負荷の低い材料を提供する。,BASF;旭化成株式会社,C08J 11/10; C12P 7/62,2022-01-18
CNF分散コーティング材の調製方法,化学修飾したセルロースナノファイバーを含有するフィルムに関する。ナノファイバーの表面処理により接着剤組成物との親和性を向上させ、寸法安定性の向上を実現する。,旭化成株式会社,C08J 5/04; B32B 23/00; C08L 1/02,2024-07-01
電解質を備えた二次電池,リチウムイオン二次電池の集電体に関する。ニッケルリッチ層状酸化物の表面コーティングにより、高容量かつ長サイクル寿命を実現する。,出光興産株式会社;トヨタ自動車株式会社,H01M 10/0562; H01M 10/052; H01M 4/525,2024-01-05
高解像度表示装置の駆動回路,マイクロLEDを画素として用いた表示装置の製造方法に関する。蒸着法により高精細な表示パネルを得る。,京セラ株式会社;JDI,H10K 50/10; C09K 11/02,2024-03-03
高効率太陽電池,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により変換効率30%超を達成する。,東京大学;First Solar,H01L 31/18; H10K 30/50; H10K 30/30,2020-11-21
太陽電池セルモジュール,ペロブスカイト太陽電池セルに関する。パッシベーション層の形成により光電変換効率を向上させ、低コストでの製造を可能にする。,Oxford PV;積水化学工業株式会社,H01L 31/0725,2022-03-21
集電体を備えた二次電池,二次電池用固体電解質の製造方法であって、ゾルゲル法により均質な正極材料を得る方法を提供する。,パナソニック株式会社;TDK株式会社,H01M 50/40,2019-06-19
リチウムイオン電池用負極材料,リチウムイオン二次電池のセパレータに関する。ニッケルリッチ層状酸化物の表面コーティングにより、高容量かつ長サイクル寿命を実現する。,CATL,H01M 10/0562; C01G 53/00; H01M 10/052,2022-08-08
自動運転車両の歩行者予測装置,車両の速度制御装置であって、トランスフォーマーモデルを用いて周囲環境を認識し、安全な走行を支援する。,Mobileye;日産自動車株式会社,G06N 3/08; G06V 20/58,2023-03-16
太陽電池セルモジュール,シリコン太陽電池とペロブスカイト太陽電池のタンデム構造に関する。中間層の最適化により変換効率30%超を達成する。,カネカ,H10K 30/30,2022-06-12
フレキシブル光電変換素子,太陽電池セルの製造方法であって、蒸着法を用いて大面積化と高効率化の両立を実現する。,京都大学,H01L 31/18; H01L 31/0725,2023-10-22
深層学習を用いた骨折検出方法,深層学習モデルによる腫瘍の分類方法であって、転移学習により少量の教師データでも高い診断精度を達成する。,キヤノン株式会社;東京大学,G06N 3/08; G06T 7/00; A61B 5/00,2021-06-27
CNF分散接着剤組成物の調製方法,化学修飾したセルロースナノファイバーを含有するコーティング材に関する。ナノファイバーの表面処理によりフィルムとの親和性を向上させ、高強度化を実現する。,東レ株式会社;花王株式会社,D21H 11/18; B32B 23/00; C08J 5/18,2022-08-22
MRI画像の自動診断支援方法,医用画像の分類に関する。畳み込みニューラルネットワークを用いて内視鏡画像から網膜病変を高精度で検出する。転移学習により,国立がん研究センター,G06N 3/08; A61B 6/03,2020-06-03
超音波画像の自動診断支援方法,医用画像の予測に関する。畳み込みニューラルネットワークを用いて内視鏡画像から腫瘍を高精度で検出する。データ拡張と半教師あり学習を組み合わせることで,東京大学;キヤノン株式会社,G06N 3/08,2020-02-09
リチウムイオン電池用固体電解質,二次電池用電解質の製造方法であって、固相反応により均質な集電体を得る方法を提供する。,Samsung SDI,H01M 4/525; H01M 50/40; H01M 10/052,2024-07-28
マイクロLEDディスプレイ,有機エレクトロルミネッセンス発光デバイスに関する。電荷輸送層のバンド構造制御により、高輝度かつ長寿命の発光デバイスを実現する。,ソニー株式会社,G09G 3/32; H10K 71/00; C09K 11/02,2021-12-03
全固体リチウム硫黄電池,二次電池用固体電解質の製造方法であって、共沈法により均質な固体電解質を得る方法を提供する。,Samsung SDI;パナソニック株式会社,H01M 10/0562; H01M 10/052,2020-06-25
